ID	genus	species	family	suborder	order	subclass	class	subphylum	phylum	infrakingdom	subkingdom	kingdom	LifeStage	Qualifier
85	Euphausia.frigida.furcilia	Euphausia	Euphausia frigida	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	furcilia	NA
86	Euphausia.hanseni.furcilia	Euphausia	Euphausia hanseni	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	furcilia	NA
87	Euphausia.longirostris	Euphausia	Euphausia longirostris	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
88	Euphausia.longirostris.calyptopis	Euphausia	Euphausia longirostris	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	calyptopis	NA
89	Euphausia.longirostris.furcilia	Euphausia	Euphausia longirostris	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	furcilia	NA
90	Euphausia.lucens	Euphausia	Euphausia lucens	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
91	Euphausia.recurva	Euphausia	Euphausia recurva	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
92	Euphausia.similis	Euphausia	Euphausia similis	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
93	Euphausia.similis.furcilia	Euphausia	Euphausia similis	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	furcilia	NA
94	Euphausia.similis.var.armata	Euphausia	Euphausia similis	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
95	Euphausia.spinifera	Euphausia	Euphausia spinifera	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
96	Euphausia.spinifera.calyptopis	Euphausia	Euphausia spinifera	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	calyptopis	NA
97	Euphausia.spinifera.furcilia	Euphausia	Euphausia spinifera	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	furcilia	NA
98	Euphausia.superba	Euphausia	Euphausia superba	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
99	Euphausia.superba.C1	Euphausia	Euphausia superba	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	C1	NA
100	Euphausia.superba.C2	Euphausia	Euphausia superba	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	C2	NA
101	Euphausia.superba.C3	Euphausia	Euphausia superba	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	C3	NA
102	Euphausia.superba.calyptopis	Euphausia	Euphausia superba	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	calyptopis	NA
103	Euphausia.superba.F1	Euphausia	Euphausia superba	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	F1	NA
104	Euphausia.superba.F2	Euphausia	Euphausia superba	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	F2	NA
105	Euphausia.superba.F3	Euphausia	Euphausia superba	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	F3	NA
106	Euphausia.superba.F4	Euphausia	Euphausia superba	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	F4	NA
107	Euphausia.superba.F5	Euphausia	Euphausia superba	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	F5	NA
108	Euphausia.superba.F6	Euphausia	Euphausia superba	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	F6	NA
109	Euphausia.superba.furcilia	Euphausia	Euphausia superba	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	furcilia	NA
110	Euphausia.triacantha	Euphausia	Euphausia triacantha	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
111	Euphausia.triacantha.calyptopis	Euphausia	Euphausia triacantha	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	calyptopis	NA
112	Euphausia.triacantha.furcilia	Euphausia	Euphausia triacantha	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	furcilia	NA
113	Euphausia.vallentini	Euphausia	Euphausia vallentini	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
114	Euphausia.vallentini.calyptopis	Euphausia	Euphausia vallentini	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	calyptopis	NA
115	Euphausia.vallentini.furcilia	Euphausia	Euphausia vallentini	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	furcilia	NA
116	Euphausiidae.calyptopis.indet	NA	NA	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	calyptopis	indet
117	Euphausiidae.furcilia.indet	NA	NA	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	furcilia	indet
118	Euphausiidae.indet	NA	NA	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	indet
119	Euphausiidae.metanauplius.indet	NA	NA	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	metanauplius	indet
120	Euphausiidae.nauplius.indet	NA	NA	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	nauplius	indet
121	Euterpina.sp.	Euterpina	NA	Tachidiidae	NA	Harpacticoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
122	Evadne.sp.	Evadne	NA	Podonidae	NA	Onychopoda	Phyllopoda	Branchiopoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
123	Farranula.sp.	Farranula	NA	Corycaeidae	Ergasilida	Cyclopoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
124	Foraminifera.indet	NA	NA	NA	NA	NA	NA	NA	NA	Foraminifera	Rhizaria	Harosa	Chromista	NA	indet
125	Fritillaria.sp.	Fritillaria	NA	Fritillariidae	NA	Copelata	NA	Appendicularia	Tunicata	Chordata	NA	NA	Animalia	NA	sp
126	Gammaridea.indet	NA	NA	NA	Gammaridea	Amphipoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	indet
127	Gastropoda.indet	NA	NA	NA	NA	NA	NA	Gastropoda	NA	Mollusca	NA	NA	Animalia	NA	indet
128	Globigerina.bulloides	Globigerina	Globigerina bulloides	Globigerinidae	Globigerinina	Rotaliida	Rotaliana	Globothalamea	NA	Foraminifera	Rhizaria	Harosa	Chromista	NA	NA
129	Globigerinita.uvula	Globigerinita	Globigerinita uvula	Globigerinitidae	Globigerinina	Rotaliida	Rotaliana	Globothalamea	NA	Foraminifera	Rhizaria	Harosa	Chromista	NA	NA
130	Globorotalia.inflata	Globorotalia	Globorotalia inflata	Globorotaliidae	Globigerinina	Rotaliida	Rotaliana	Globothalamea	NA	Foraminifera	Rhizaria	Harosa	Chromista	NA	NA
131	Globorotalia.sp.	Globorotalia	NA	Globorotaliidae	Globigerinina	Rotaliida	Rotaliana	Globothalamea	NA	Foraminifera	Rhizaria	Harosa	Chromista	NA	sp
132	Haloptilus.oxycephalus	Haloptilus	Haloptilus oxycephalus	Augaptilidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
133	Hansarsia.megalops	Hansarsia	Hansarsia megalops	Euphausiidae	NA	Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
134	Harpacticoida.indet	NA	NA	NA	NA	Harpacticoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	indet
135	Hemityphis.sp.	Hemityphis	NA	Platyscelidae	Hyperiidea	Amphipoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
136	Heterorhabdus.austrinus	Heterorhabdus	Heterorhabdus austrinus	Heterorhabdidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
137	Heterorhabdus.lobatus	Heterorhabdus	Heterorhabdus lobatus	Heterorhabdidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
138	Heterorhabdus.sp.	Heterorhabdus	NA	Heterorhabdidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
139	Heterorhabdus.spinifrons	Heterorhabdus	Heterorhabdus spinifrons	Heterorhabdidae	NA	Calanoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
140	Hyperia.sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
141	Hyperia.spinigera	Hyperia	Hyperia spinigera	Hyperiidae	Hyperiidea	Amphipoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
142	Hyperiella.antarctica	Hyperiella	Hyperiella antarctica	Hyperiidae	Hyperiidea	Amphipoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
143	Hyperiella.dilatata	Hyperiella	Hyperiella dilatata	Hyperiidae	Hyperiidea	Amphipoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
144	Hyperiella.sp.	Hyperiella	NA	Hyperiidae	Hyperiidea	Amphipoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
145	Hyperiidea.indet	NA	NA	NA	Hyperiidea	Amphipoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	indet
146	Hyperoche.medusarum	Hyperoche	Hyperoche medusarum	Hyperiidae	Hyperiidea	Amphipoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	NA
147	Hyperoche.sp.	Hyperoche	NA	Hyperiidae	Hyperiidea	Amphipoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
148	Iospilidae.indet	NA	NA	Iospilidae	Phyllodocida incertae sedis	Phyllodocida	Errantia	Polychaeta	NA	Annelida	NA	NA	Animalia	NA	indet
149	Isopoda.indet	NA	NA	NA	NA	Isopoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	NA	NA	Animalia	NA	indet
150	Lensia.sp.	Lensia	NA	Diphyidae	Calycophorae	Siphonophorae	Hydroidolina	Hydrozoa	Medusozoa	Cnidaria	NA	NA	Animalia	NA	sp
151	Limacina.sp.	Limacina	NA	Limacinidae	Euthecosomata	Pteropoda	Heterobranchia	Gastropoda	NA	Mollusca	NA	NA	Animalia	NA	sp
152	Lopadorrhynchidae.indet	NA	NA	Lopadorrhynchidae	Phyllodociformia	Phyllodocida	Errantia	Polychaeta	NA	Annelida	NA	NA	Animalia	NA	indet
153	Lubbockia.sp.	Lubbockia	NA	Lubbockiidae	Ergasilida	Cyclopoida	NA	Copepoda	Crustacea	Arthropoda	NA	NA	Animalia	NA	sp
